startTime time open high low close volume
1646438400000 1646524799999 88.33 91.22 86 89.63 1495553.5
1646524800000 1646611199999 89.61 89.96 84.09 84.57 1828270.57
1646611200000 1646697599999 84.58 86.71 79.92 81.66 3230989.34
1646697600000 1646783999999 81.65 85.04 81.3 82.32 2604534.79
1646784000000 1646870399999 82.32 89.92 81.9 88.06 3355218.73
1646870400000 1646956799999 88.06 88.57 80.63 82.87 2828491.21
1646956800000 1647043199999 82.86 84.29 80.07 80.67 2528334.85
1647043200000 1647129599999 80.67 82.75 80.57 81.38 1362268.13
1647129600000 1647215999999 81.4 83.34 77.65 78.73 2009434.97
1647216000000 1647302399999 78.72 82.29 78 81.22 2079919.39
1647302400000 1647388799999 81.23 85.99 78.72 82.84 2123603.37
1647388800000 1647475199999 82.84 87.98 81.53 87.77 2638790.33
1647475200000 1647561599999 87.77 91 86.58 87.8 2616451.8
1647561600000 1647647999999 87.8 92.28 84.41 89.8 2935949.01
1647648000000 1647734399999 89.81 94.55 89.25 92.31 2058348.96
1647734400000 1647820799999 92.31 92.55 87.82 88.62 1500458.29
1647820800000 1647907199999 88.62 91.28 86.74 88.59 1985082.57
1647907200000 1647993599999 88.58 93.98 88 90.43 2611345.56
1647993600000 1648079999999 90.44 96.36 89.19 94.89 2854825.2
1648080000000 1648166399999 94.88 103.7 93.26 102.32 4777008.51
1648166400000 1648252799999 102.32 104.86 96.95 98.6 3360440.57
1648252800000 1648339199999 98.6 103.4 97.63 101.73 1906343.44
1648339200000 1648425599999 101.73 107.46 98.77 107.04 2351080.64
1648425600000 1648511999999 107.04 113.87 105.22 105.75 4146023.22
1648512000000 1648598399999 105.75 115.7 105.49 111.62 3727259.92
1648598400000 1648684799999 111.62 125.26 107.11 120.82 5250424.16
1648684800000 1648771199999 120.82 129.5 119.95 122.77 5143974.9
1648771200000 1648857599999 122.79 138.4 117.39 134.52 5505077.63
1648857600000 1648943999999 134.53 143.51 131.47 132.49 4193984.2
1648944000000 1649030399999 132.48 141.11 130.52 136.9 2964507.05
1649030400000 1649116799999 136.9 138.29 125.82 132.14 3456901.43
1649116800000 1649203199999 132.14 136.63 126.07 126.87 2833885.54
1649203200000 1649289599999 126.88 127.4 112.1 112.95 4266870.2
1649289600000 1649375999999 112.94 120 110.88 118.48 3326346.75
1649376000000 1649462399999 118.47 122.42 108.1 109.92 3328966.49
1649462400000 1649548799999 109.92 113.69 108.28 112.96 1376896.77
1649548800000 1649635199999 112.97 116.09 109.71 111.07 1560720.04
1649635200000 1649721599999 111.06 111.94 98.1 99.67 3332133.13
1649721600000 1649807999999 99.64 109.36 98.31 103.22 3527634.19
1649808000000 1649894399999 103.21 106.04 100.09 104.94 2204306.4
1649894400000 1649980799999 104.92 107.72 98.77 100.77 2711073.76
1649980800000 1650067199999 100.77 102.91 99.55 101.31 1384490.37
1650067200000 1650153599999 101.38 103.5 100.71 102.06 1006216.36
1650153600000 1650239999999 102.06 105.44 99.62 100.15 1509800.04
1650240000000 1650326399999 100.15 102.65 94.62 102.33 2751434.83
1650326400000 1650412799999 102.37 109 101.02 108.51 2675360.43
1650412800000 1650499199999 108.51 110.9 104.25 105.59 2768156.81
1650499200000 1650585599999 105.58 110 99.86 101.78 2671646.36
1650585600000 1650671999999 101.78 103.55 99.19 100.55 1777613.85
1650672000000 1650758399999 100.55 102.9 98.31 100.63 1081628.14
1650758400000 1650844799999 100.63 102.31 98.55 99.23 1064136.15
1650844800000 1650931199999 99.22 101.59 94.32 100.99 2317293.8
